,airport_name,city_name,country_name,timezone,type_of_port
126,Heliport Hotel das Cataratas,Cataratas National Park,Brazil,-3,airport
127,Chatham Islands-Tuuta Airport,Chatham Island,New Zealand,12.75,airport
128,Nonouti Airport,Nonouti,Kiribati,12,airport
129,Iberia Airport,Iberia,Peru,-5,airport
130,Capitán FAP Renán Elías Olivera International Airport,Pisco,Peru,-5,airport
131,São Gabriel da Cachoeira Airport,Sao Gabriel,Brazil,-4,airport
132,Stord Airport,Stord,Norway,1,airport
133,Őcsény Airport,Ocseny,Hungary,1,airport
134,Bromont (Roland Desourdy) Airport,Bromont,Canada,-5,airport
135,Vigan Airport,Vigan,Philippines,8,airport
136,Brochet Airport,Brochet,Canada,-6,airport
137,Huizhou South Railway Station,Huizhou,China,8,station
138,Bois Blanc Island Ferry Terminal,Bois Blanc Island,United States,-5,port
139,Tiputini Airport,Tiputini,Ecuador,-5,airport
140,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,Canada,-5,airport
141,Skagway Airport,Skagway,United States,-9,airport
142,Ringebu Airfield Frya,Frya,Norway,1,airport
143,Luzern-Beromunster Airport,Lucerne,Switzerland,1,airport
144,Anqing Tianzhushan Airport,Anqing,China,8,airport
145,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,-4,airport
146,Mercedita Airport,Ponce,Puerto Rico,-4,airport
147,Nal Airport,Bikaner,India,5.5,airport
148,Andapa Airport,Andapa,Madagascar,3,airport
149,Windsor Station,Windsor,Canada,-5,station
150,Charlotte Douglas International Airport,Charlotte,United States,-5,airport
151,Waiouru Airport,Waiouru,New Zealand,12,airport
152,Sir Grantley Adams International Airport,Bridgetown,Barbados,-4,airport
153,Mongu Airport,Mongu,Zambia,2,airport
154,General José Antonio Anzoategui International Airport,Barcelona,Venezuela,-4,airport
155,Chokurdakh Airport,Chokurdah,Russia,11,airport
156,Fort Lauderdale Executive Airport,Fort Lauderdale,United States,-5,airport
157,Severobajkalsk Port,Severobajkalsk,Russia,8,port
158,Yorke Island Airport,Yorke Island,Australia,10,airport
159,Batman Airport,Batman,Turkey,3,airport
160,Hutchinson County Airport,Borger,United States,-5,airport
161,Stadtlohn-Vreden Airport,Stadtlohn,Germany,1,airport
162,Höxter-Holzminden Airport,Hoexter Holzminden,Germany,1,airport
163,Centara Seaplane Dock,Centara Resort,Maldives,5,airport
164,Bonaventure Airport,Bonaventure,Canada,-5,airport
165,Severo-Evensk Airport,Evensk,Russia,11,airport
166,Aghajari Airport,Aghajari,Iran,3.5,airport
167,Amendola Air Base,Amendola,Italy,1,airport
168,Turtle Island Seaplane Base,Turtle Island,Fiji,12,airport
169,Cruzeiro do Sul Airport,Cruzeiro do Sul,Brazil,-5,airport
170,Fairbanks International Airport,Fairbanks,United States,-9,airport
171,Bathurst Airport,Bathurst,Australia,10,airport
172,Wageningen Airstrip,Wageningen,Suriname,-3,airport
173,Maripasoula Airport,Maripasoula,French Guiana,-3,airport
174,Fort Stockton Pecos County Airport,Fort Stockton,United States,-6,airport
175,Skagway Airport,Skagway,United States,-9,airport
176,La Gomera Airport,La Gomera,Spain,0,airport
177,Orillia Airport,Orillia,Canada,-5,airport
178,Copenhagen Roskilde Airport,Copenhagen,Denmark,1,airport
179,Liverpool John Lennon Airport,Liverpool,United Kingdom,0,airport
180,Kyoto Station,Kyoto,Japan,9,station
181,Fussen BF,Fussen,Germany,1,station
182,Betoambari Airport,Bau-Bau,Indonesia,8,airport
183,Ghadames East Airport,Ghadames,Libya,2,airport
184,Mishima Station,Mishima,Japan,9,station
185,Seppe Airfield,Bosschenhoofd,Netherlands,1,airport
186,Felts Field,Spokane,United States,-8,airport
187,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,-3,airport
188,Dimapur Airport,Dimapur,India,5.5,airport
189,New Century Aircenter Airport,Olathe,United States,-6,airport
190,Newark Liberty International Airport,Newark,United States,-5,airport
191,Perry Lefors Field,Pampa,United States,-5,airport
192,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,-7,airport
193,Barra do Garças Airport,Barra Do Garcas,Brazil,-4,airport
194,Oban Airport,North Connel,United Kingdom,0,airport
195,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,-7,airport
196,Philip Billard Municipal Airport,Topeka,United States,-6,airport
197,Bedwell Harbour Seaplane Base,Bedwell Harbour,Canada,-8,airport
198,Wiener Neustadt East Airport,Wiener Neustadt Ost,Austria,1,airport
199,Al Taqaddum Air Base,Al Taqaddum,Iraq,3,airport
200,Ilam Airport,Ilam,Iran,3.5,airport
201,George Town Airport,George Town,Bahamas,-5,airport
202,Verkhnevilyuisk Airport,Verkhnevilyuysk,Russia,9,airport
203,Antsirabato Airport,Antalaha,Madagascar,3,airport
204,Forest Lake Airport,Forest Lake,United States,-6,airport
205,Yemelyanovo Airport,Krasnoyarsk,Russia,7,airport
206,Enghave Railway Station,Copenhagen,Denmark,1,station
207,Khorat Airport,Nakhon Ratchasima,Thailand,7,airport
208,Halls Creek Airport,Halls Creek,Australia,8,airport
209,Dong Tac Airport,Tuy Hoa,Vietnam,7,airport
210,Chojna Air Base,Chojna,Poland,1,airport
211,Brampton Island Airport,Brampton Island,Australia,10,airport
212,Sintra Station,Sintra,Portugal,0,station
213,RAF Scampton,Scampton,United Kingdom,0,airport
214,La Chinita International Airport,Maracaibo,Venezuela,-4,airport
215,Metz-Nancy-Lorraine Airport,Metz,France,1,airport
216,Mianwali Air Base,Mianwali,Pakistan,5,airport
217,Grand-Santi Airport,Grand-Santi,French Guiana,-3,airport
218,Kuantan Airport,Kuantan,Malaysia,8,airport
219,Western Springs Metra Station,Western Springs,United States,-6,station
220,Yamuna Bridge Railway Station,Etmaddoula,India,5.5,station
221,Rafael Cabrera Airport,Nueva Gerona,Cuba,-5,airport
222,Ain el Beida Airport,Ouargla,Algeria,1,airport
223,Dublin Airport,Dublin,Ireland,0,airport
224,Kostroma Sokerkino Airport,Kostroma,Russia,3,airport
225,Godman Army Air Field,Fort Knox,United States,-5,airport
226,Yancheng Airport,Yancheng,China,8,airport
227,Tarko-Sale Airport,Tarko-Sale,Russia,5,airport
228,Raroia Airport,Raroia,French Polynesia,-10,airport
229,Tefé Airport,Tefe,Brazil,-4,airport
230,McMurdo Station Pegasus Field,McMurdo Station,Antarctica,12,airport
231,Coral Creek Airport,Placida,United States,-5,airport
232,Durham Amtrak Station,Durham,United States,-4,station
233,Niagara Falls Station,Niagara Falls,Canada,-5,station
234,Bay Ridge 95th Street Station,New York,United States,-5,station
235,Whakatane Airport,Whakatane,New Zealand,12,airport
236,Eastport Municipal Airport,Eastport,United States,-5,airport
237,Manokotak Airport,Manokotak,United States,-9,airport
238,Maiana Airport,Maiana,Kiribati,12,airport
239,Kuching International Airport,Kuching,Malaysia,8,airport
240,Horley Railway Station,Horley,United Kingdom,0,station
241,Kalskag Airport,Kalskag,United States,-9,airport
242,Bromont (Roland Desourdy) Airport,Bromont,Canada,-5,airport
243,Surgut Airport,Surgut,Russia,5,airport
244,Portimão Airport,Portimao,Portugal,0,airport
245,Warsaw Chopin Airport,Warsaw,Poland,1,airport
246,Sokodé Airport,Sokode,Togo,0,airport
247,Municipal Airport,Viroqua,United States,-6,airport
248,La Junta Municipal Airport,La Junta,United States,-7,airport
249,Avignon-Caumont Airport,Avignon,France,1,airport
250,Tambo Int'l. Airport Gautrain Station,Kempton Park,South Africa,2,airport
251,Majors Airport,Greenvile,United States,-6,airport
252,Montgomery Union Station,Montgomery,United States,-6,station
253,Beihan Airport,Beihan,Yemen,3,airport
254,Rhinelander Oneida County Airport,Rhinelander,United States,-6,airport
255,Warnervale Airport,Warnervale Airport,Australia,10,airport
256,Soekarno-Hatta International Airport,Jakarta,Indonesia,7,airport
257,Ngala Airport,Ngala,South Africa,1,airport
258,Zhijiang Airport,Zhijiang,China,8,airport
259,Babanakira Airport,Mbambanakira,Solomon Islands,11,airport
260,Augsburg Railway,Augsburg,Germany,1,station
261,Mosul International Airport,Mosul,Iraq,3,airport
262,Whiting Field Naval Air Station South Airport,Cuxhaven,Germany,-6,airport
263,Pointe Vele Airport,Futuna Island,Wallis and Futuna,12,airport
264,Wahoo Municipal Airport,Wahoo,United States,-5,airport
265,Branch County Memorial Airport,Coldwater,United States,-5,airport
266,Mimco GO Station,Toronto,Canada,-5,station
267,Suzhou North Railway Station,Suzhou,China,8,station
268,Yichun Mingyueshan Airport,Yichun,China,8,airport
269,Leopoldsburg Airfield,Leopoldsburg,Belgium,1,airport
270,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,-4,airport
271,Stouffville GO Station,Stouffville,Canada,-5,station
272,General Dewitt Spain Airport,Memphis,United States,-4,airport
273,Étain-Rouvres Air Base,Etain,France,1,airport
274,Châlons-Vatry Airport,Chalons,France,1,airport
275,RAF Dishforth,Dishforth,United Kingdom,0,airport
276,Normans Cay Airport,Norman's Cay,Bahamas,-5,airport
277,Kitsissuarsuit Heliport,Kitsissuarsuit,Greenland,-3,airport
278,Westkapelle heliport,Knokke,Belgium,1,airport
279,Nikolai Airport,Nikolai,United States,-9,airport
280,City Air Terminal,Bangkok,Thailand,7,airport
281,Tofino / Long Beach Airport,Tofino,Canada,-8,airport
282,Rancho San Simeon Airport,Cambria,United States,-8,airport
283,Darlington Railway Station,Darlington,United Kingdom,0,station
284,Svanemollen Railway Station,Copenhagen,Denmark,1,station
285,El Dorado Airport,El Dorado,Venezuela,-4,airport
286,Hsinchu Station,Hsinchu,Taiwan,8,station
287,Hammerfest Airport,Hammerfest,Norway,1,airport
288,Orlando Sanford International Airport,Sanford,United States,-5,airport
289,Iswahyudi Airport,Madiun,Indonesia,7,airport
290,Halim Perdanakusuma International Airport,Jakarta,Indonesia,7,airport
291,Joaquín de Agüero Airport,Santa Lucia,Cuba,-5,airport
292,EuroAirport,Mulhouse,France,1,airport
293,Praslin Airport,Praslin,Seychelles,4,airport
294,Havre Train Station,Havre,United States,-7,station
295,Kongolo Airport,Kongolo,Congo (Kinshasa),1,airport
296,Bellingham International Airport,Bellingham,United States,-8,airport
297,Fallon Naval Air Station,Fallon,United States,-8,airport
298,Queen Beatrix International Airport,Oranjestad,Aruba,-4,airport
299,Dyagilevo Air Base,Kostroma,Russia,3,airport
300,Hosea Kutako International Airport,Windhoek,Namibia,1,airport
301,Calella Station,Calella,Spain,1,station
302,Trenčín Airport,Trencin,Slovakia,1,airport
303,Saint Louis Airport,St. Louis,Senegal,0,airport
304,Turtle Island Seaplane Base,Turtle Island,Fiji,12,airport
305,Sydney Bankstown Airport,Sydney,Australia,10,airport
306,Siena-Ampugnano Airport,Siena,Italy,1,airport
307,Marsa Brega Airport,Marsa Brega,Libya,2,airport
308,Mardin Airport,Mardin,Turkey,3,airport
309,Qaarsut Airport,Uummannaq,Greenland,-3,airport
310,Gassim Airport,Gassim,Saudi Arabia,3,airport
311,Inwood Station,Inwood,United States,-5,station
312,Tashkent International Airport,Tashkent,Uzbekistan,5,airport
313,St. Lewis (Fox Harbour) Airport,St. Lewis,Canada,-3.5,airport
314,Coral Creek Airport,Placida,United States,-5,airport
315,Captain Ramon Xatruch Airport,La Palma,Panama,-5,airport
316,Tipton Airport,Fort Meade,United States,-5,airport
317,Kozushima Airport,Kozushima,Japan,9,airport
318,Pichoy Airport,Valdivia,Chile,-4,airport
319,St. Lewis (Fox Harbour) Airport,St. Lewis,Canada,-3.5,airport
320,Flabob Airport,Riverside,United States,-8,airport
321,Bettles Airport,Bettles,United States,-9,airport
322,Wuhai Airport,Wuhai,China,8,airport
323,Sirri Island Airport,Siri Island,Iran,3.5,airport
324,New Tempe Airport,Bloemfontein,South Africa,2,airport
325,Atmautluak Airport,Atmautluak,United States,-9,airport
326,Gaya Junction Railway Station,Gaya,India,5.5,station
327,Basseterre Port,Basseterre,Saint Kitts and Nevis,-4,port
328,Eagle County Airport,Eagle,United States,-7,airport
329,Boigu Airport,Boigu,Australia,10,airport
330,Cherkasy International Airport,Cherkassy,Ukraine,2,airport
331,DeKalb Peachtree Airport,Atlanta,United States,-5,airport
332,Beihan Airport,Beihan,Yemen,3,airport
333,Pellston Regional Airport of Emmet County Airport,Pellston,United States,-5,airport
334,Gibraltar Airport,Gibraltar,Gibraltar,1,airport
335,Brenham Municipal Airport,Brenham,United States,-6,airport
336,Tilichiki Airport,Tilichiki,Russia,12,airport
337,Greater Rochester International Airport,Rochester,United States,-5,airport
338,Bradshaw Army Airfield,Bradshaw Field,United States,-10,airport
339,Professor Urbano Ernesto Stumpf Airport,Sao Jose Dos Campos,Brazil,-3,airport
340,Sancti Spiritus Airport,Sancti Spiritus,Cuba,-5,airport
341,Puerto Jimenez Airport,Puerto Jimenez,Costa Rica,-6,airport
342,Wishaw Railway Station,Wishaw,United Kingdom,0,station
343,Carluke Railway Station,Carluke,United Kingdom,0,station
344,Kikori Airport,Kikori,Papua New Guinea,10,airport
345,Usinsk Airport,Usinsk,Russia,3,airport
346,Capitan D Daniel Vazquez Airport,San Julian,Argentina,-3,airport
347,Black Tickle Airport,Black Tickle,Canada,-4,airport
348,St. George Airport,St. George,United States,-9,airport
349,Dubuque Regional Airport,Dubuque IA,United States,-6,airport
350,Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,Peru,-5,airport
351,Chichen Itza International Airport,Chichen Itza,Mexico,-6,airport
352,Cape Cod Coast Guard Air Station,Falmouth,United States,-5,airport
353,Relizane Airport,Relizane,Algeria,1,airport
354,Airport Regional Station,Frankfurt,Germany,1,airport
355,Bedourie Airport,Bedourie,Australia,10,airport
356,Yasser Arafat International Airport,Gaza,Palestine,2,airport
357,Abqaiq Airport,Abqaiq,Saudi Arabia,3,airport
358,Meadows Field,Bakersfield,United States,-8,airport
359,Mannheim HBF,Mannheim,Germany,1,station
360,Wuxi Railway Station,Wuxi,China,8,station
361,Bicycle Lake Army Air Field,Fort Irwin,United States,-8,airport
362,Mutare Airport,Mutare,Zimbabwe,2,airport
363,Chofu Airport,Tokyo,Japan,9,airport
364,New Tempe Airport,Bloemfontein,South Africa,2,airport
365,Gifu Station,Gifu,Japan,9,station
366,Istres Le Tubé/Istres Air Base (BA 125) Airport,Istres,France,1,airport
367,Brochet Airport,Brochet,Canada,-6,airport
368,Grand Junction Regional Airport,Grand Junction,United States,-7,airport
369,General Bartolome Salom International Airport,Puerto Cabello,Venezuela,-4,airport
370,Lauro Carneiro de Loyola Airport,Joinville,Brazil,-3,airport
371,Stuttgart Railway Station,Stuttgart,Germany,1,station
372,Beverley Airport,Mine Site,Australia,9.5,airport
373,Mocopulli Airport,Castro,Chile,-4,airport
374,Maafushivaru Seaplane Dock,Maafushivaru Resort,Maldives,5,airport
375,Yaroslavsky Station,Moscow,Russia,3,station
376,Solingen Hauptbahnhof,Solingen,Germany,1,station
377,Guatuso Airport,Marigot,France,-6,airport
378,Sauce Viejo Airport,Santa Fe,Argentina,-3,airport
379,Arutua Airport,Arutua,French Polynesia,-10,airport
380,Solenzara (BA 126) Air Base,Solenzara,France,1,airport
381,Yellowstone Airport,West Yellowstone,United States,-7,airport
382,Key West International Airport,Key West,United States,-5,airport
383,Xewkija Heliport,Gozo,Malta,1,airport
384,Blythe Airport,Blythe,United States,-8,airport
385,Taba International Airport,Taba,Egypt,2,airport
386,Tabas Airport,Tabas,Iran,3.5,airport
387,Mountain Home Air Force Base,Mountain Home,United States,-7,airport
388,Góraszka Airport,Goraszka,Poland,1,airport
389,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,-5,airport
390,Vöslau Airport,Bad Voeslau,Austria,1,airport
391,Korla Airport,Korla,China,8,airport
392,Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,France,1,airport
393,Koyuk Alfred Adams Airport,Koyuk,United States,-9,airport
394,Mulia Airport,Mulia,Indonesia,9,airport
395,Zumbi dos Palmares Airport,Maceio,Brazil,-3,airport
396,Island Lake Airport,Island Lake,Canada,-6,airport
397,Virgin Gorda Airport,Spanish Town,British Virgin Islands,-4,airport
398,Zürich Airport,Zurich,Switzerland,1,airport
399,Dumatumbun Airport,Langgur-Kei Islands,Indonesia,9,airport
400,Kemi-Tornio Airport,Kemi,Finland,2,airport
401,Esler Regional Airport,Alexandria,United States,-6,airport
402,Dominique Edward Osok Airport,Sorong,Indonesia,9,airport
403,Groton New London Airport,Groton CT,United States,-5,airport
404,Sawan Airport,Sindh,Pakistan,5,airport
405,Kajaani Airport,Kajaani,Finland,2,airport
406,Marshfield Municipal Airport,Marshfield,United States,-6,airport
407,Lannion-Côte de Granit Airport,Lannion,France,1,airport
408,Westkapelle heliport,Knokke,Belgium,1,airport
409,Yacuiba Airport,Yacuiba,Bolivia,-4,airport
410,Ein Shemer Airfield,Eyn-shemer,Israel,2,airport
411,Toamasina Airport,Toamasina,Madagascar,3,airport
412,Tengchong Tuofeng Airport,Tengchong,China,8,airport
413,Kamphaeng Saen Airport,Nakhon Pathom,Thailand,7,airport
414,Perth International Airport,Perth,Australia,8,airport
415,Almelo Railway Station,Almelo,Netherlands,1,station
416,Putnam County Airport,Greencastle,United States,-5,airport
417,Schefferville Airport,Schefferville,Canada,-5,airport
418,Cesar Lim Rodriguez Airport,Taytay,Philippines,8,airport
419,Deventer Railway Station,Deventer,Netherlands,1,station
420,King Salmon Airport,King Salmon,United States,-9,airport
421,Wilwal International Airport,Jijiga,Ethiopia,3,airport
422,Penticton Airport,Penticton,Canada,-8,airport
423,Tarin Kowt Airport,Tarin Kowt,Afghanistan,4.5,airport
424,NAS Agana Airport,Agana,United States,10,airport
425,Pico Airport,Pico,Portugal,-1,airport
426,St Georges Airport,Lutselk'e,Canada,-5,airport
427,Tennant Creek Airport,Tennant Creek,Australia,9.5,airport
428,Asmara International Airport,Asmara,Eritrea,3,airport
429,Brig. Lysias Augusto Rodrigues Airport,Carolina,Brazil,-3,airport
430,Charlo Airport,Charlo,Canada,-4,airport
431,Orlyval Sud Station,Orly,France,1,station
432,Milford Sound Airport,Milford Sound,New Zealand,12,airport
433,Newcastle Airport,Newcastle,South Africa,2,airport
434,Moyo Airport,Moyo,Uganda,3,airport
435,North Platte Regional Airport Lee Bird Field,North Platte,United States,-6,airport
436,Hooper Bay Airport,Hooper Bay,United States,-9,airport
437,Budel Airfield Kempen,Weert,Netherlands,1,airport
438,Esler Regional Airport,Alexandria,United States,-6,airport
439,Bradshaw Army Airfield,Bradshaw Field,United States,-10,airport
440,Jackson Union Station,Jackson,United States,-6,station
441,Sanday Airport,Sanday,United Kingdom,0,airport
442,Battersea Park Railway Station,London,United Kingdom,0,station
443,Aomori Airport,Aomori,Japan,9,airport
444,Rennes-Saint-Jacques Airport,Rennes,France,1,airport
445,Lauro Kurtz Airport,Passo Fundo,Brazil,-3,airport
446,Pendopo Airport,Talang Gudang-Sumatra Island,Indonesia,7,airport
447,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,-5,airport
448,Norderney Airport,Norderney,Germany,1,airport
449,Larisa Airport,Larissa,Greece,2,airport
450,Ein Shemer Airfield,Eyn-shemer,Israel,2,airport
451,Juanjui Airport,Juanjui,Peru,-5,airport
452,Étain-Rouvres Air Base,Etain,France,1,airport
453,Blythe Airport,Blythe,United States,-8,airport
454,Balzers Heliport,Balzers,Switzerland,1,airport
455,Full Sutton Airfield,York,United Kingdom,0,airport
456,Nara Station,Nara,Japan,9,station
457,Douliu Station,Douliu,Taiwan,8,station
458,Mytilene International Airport,Mytilini,Greece,2,airport
459,Hosea Kutako International Airport,Windhoek,Namibia,1,airport
460,Gifu Airport,Gifu,Japan,9,airport
461,Rose Bay Airport,Sydney,Australia,10,airport
462,Longdongbao Airport,Guiyang,China,8,airport
463,Sublette Municipal Airport,Sublette,United States,-5,airport
464,Davis Monthan Air Force Base,Tucson,United States,-7,airport
465,Mirny Airport,Mirnyj,Russia,9,airport
466,Ivanovo South Airport,Ivanovo,Russia,3,airport
467,San Antonio Caltrain Station,Mountain View,United States,-8,station
468,Elkhart Morton County Airport,Elkhart,United States,-5,airport
469,RAF Dishforth,Dishforth,United Kingdom,0,airport
470,Shante Air Base,Shante,Burma,6.5,airport
471,Wilkes County Airport,North Wilkesboro,United States,-5,airport
472,Cowra Airport,Chatsworth,Australia,10,airport
473,Fort Sheridan Station,Fort Sheridan,United States,-6,station
474,Tel Nof Air Base,Tel-nof,Israel,2,airport
